00:06:49.720{'coordinate': [467.4929536779815, 210.63157324400026], 'id': 9}
00:06:49.721{'coordinate': [444.99036717522955, 362.27516677973324], 'id': 5}
00:06:49.722{'id': 10, 'coordinate': [458.63720465493805, 146.45326529306215]}
00:06:49.727{'coordinate': [454.56373250648625, 79.13829577641093], 'id': 1}
00:06:49.955{'coordinate': [464.5533451852121, 79.5939694853731], 'id': 1}
00:06:49.978{'id': 10, 'coordinate': [468.6285666705318, 146.86881922861124]}
00:06:49.979{'coordinate': [477.4808811465049, 211.12280117838122], 'id': 9}
00:06:49.981{'coordinate': [454.680614012735, 359.8055278935364], 'id': 5}
00:06:49.982{'coordinate': [380.9166790919801, 557.035017080135], 'id': 2}
00:06:49.982{'coordinate': [432.2401908220362, 262.5305493797052], 'id': 7}
00:06:50.194{'coordinate': [442.00758840493233, 260.3862675750827], 'id': 7}
00:06:50.194{'coordinate': [487.46880861502825, 211.61402911276218], 'id': 9}
00:06:50.195{'coordinate': [464.3708608502405, 357.33588900733963], 'id': 5}
